Domain,Name,Endpoint,HTTP method,토큰,Server,상태,요구사항명세서 ID,담당자
공통,공통 규칙,Web 공통 규칙,,No,Web,시작 전,,
,,AI 공통 규칙,,No,AI,시작 전,,
회원관리,AUTH-001 이메일 인증,/auth/email-verification,POST,No,Web,시작 전,REQ-AUTH-001,
,AUTH-002 이메일 인증 확인,/auth/email-verification/confirm,POST,No,Web,시작 전,"REQ-AUTH-001, REQ-AUTH-007",
,AUTH-003 회원가입,/auth/signup,POST,No,Web,시작 전,REQ-AUTH-001,
,AUTH-004 로그인,/auth/login,POST,No,Web,시작 전,REQ-AUTH-002,
,AUTH-005 토큰 재발급,/auth/token/refresh,POST,Yes,Web,시작 전,REQ-AUTH-002,
,AUTH-006 카카오 로그인,/auth/kakao,POST,No,Web,시작 전,REQ-AUTH-003,
,AUTH-006 카카오 콜백 처리,/auth/kakao/callback,POST,No,Web,시작 전,REQ-AUTH-003,
,AUTH-007 내 정보 조회,/users/me,GET,Yes,Web,시작 전,,
,AUTH-008 내 정보 수정,/users/me,PATCH,Yes,Web,시작 전,,
,AUTH-009 비밀번호 변경,/users/me/password,PATCH,Yes,Web,시작 전,,
,AUTH-010 비밀번호 찾기 인증,/auth/email-verifications,POST,No,Web,시작 전,,
,AUTH-011 비밀번호 찾기 완료,/auth/password/reset,POST,No,Web,시작 전,,
,AUTH-012 로그아웃,/auth/logout,POST,Yes,Web,시작 전,,
,AUTH-013 회원 탈퇴,/users/me,DELETE,Yes,Web,시작 전,,
캐릭터,CHAR-001 캐릭터 생성용 이미지 업로드 URL 발급,/characters/source-images,POST,Yes,Web,시작 전,,
,,,,No,,시작 전,,
,,,,No,,시작 전,,
,,,,No,,시작 전,,
,,,,No,,시작 전,,
,,,,No,,시작 전,,
토큰,TOKE-001 토큰 잔액 조회,/tokens,GET,Yes,Web,시작 전,REQ-TOKE-001,
,TOKE-002 토큰 거래 내역 조회,/tokens/transactions?limit=20&cursor=…,GET,Yes,Web,시작 전,,
알림,NOTI-001 알림 기록 조회,/notifications?limit=20&cursor=…,GET,Yes,Web,시작 전,REQ-NOTI-001,
,NOTI-002 알림 읽음 처리,/notifications/{notification_id},PATCH,Yes,Web,시작 전,REQ-NOTI-001,
포모도로,POMO-001 포모도로 세션 시작,/pomodoro-sessions,POST,Yes,,시작 전,,
